"ID";"指示符";"软件包";"数量";"名称";"供应商和参考";
1;"D1,D2,D3";"LED_0402_1005Metric";3;"LED";;;
2;"R1,R2,R6,R4,R3,R5";"R_0402_1005Metric";6;"10K";;;
3;"R10,R11,R12";"R_0402_1005Metric";3;"22R";;;
4;"J1";"TYPE-CF-16P-RAT-L7.5W";1;"Type-C";;;
5;"R9,R13";"R_0402_1005Metric";2;"1K5";;;
6;"J3";"SMD_PIN_2x4_TOP_BOTTOM";1;"Conn_02x04_Top_Bottom";;;
7;"Je1,J2";"SMD_JUMP";2;"JUMP";;;
8;"R8,R7";"R_0402_1005Metric";2;"680R";;;
9;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103CBTx";;;
10;"C1,C2";"C_0402_1005Metric";2;"100nF";;;
11;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
12;"C3";"C_0402_1005Metric";1;"1uF";;;
13;"U1";"SOT-23-5";1;"XC6210B332MR";;;
