Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",108.324994,-93.849478,0.000000,top
"D1","LED","LED_0402_1005Metric",108.288202,-88.964389,0.000000,top
"D2","LED","LED_0402_1005Metric",108.286196,-87.006761,0.000000,top
"D3","LED","LED_0402_1005Metric",94.889762,-89.629439,180.000000,top
"J1","Type-C","TYPE-CF-16P-RAT-L7.5W",92.535374,-88.322063,-90.000000,top
"J2","JUMP","SMD_JUMP",110.147974,-89.118571,0.000000,top
"J3","Conn_02x04_Top_Bottom","SMD_PIN_2x4_TOP_BOTTOM",113.030000,-87.646105,0.000000,top
"Je1","JUMP","SMD_JUMP",110.114092,-92.402793,0.000000,top
"R1","10K","R_0402_1005Metric",108.299083,-92.873139,0.000000,top
"R2","10K","R_0402_1005Metric",108.327109,-95.990184,0.000000,top
"R3","10K","R_0402_1005Metric",108.325988,-94.947145,0.000000,top
"R4","10K","R_0402_1005Metric",108.299083,-91.891507,0.000000,top
"R5","10K","R_0402_1005Metric",108.299082,-90.912291,180.000000,top
"R6","10K","R_0402_1005Metric",94.899649,-86.992999,180.000000,top
"R7","680R","R_0402_1005Metric",108.297605,-89.933494,180.000000,top
"R8","680R","R_0402_1005Metric",108.288202,-87.985953,180.000000,top
"R9","1K5","R_0402_1005Metric",94.892202,-90.610032,0.000000,top
"R10","22R","R_0402_1005Metric",94.884575,-91.597878,0.000000,top
"R11","22R","R_0402_1005Metric",94.893624,-88.642328,0.000000,top
"R12","22R","R_0402_1005Metric",94.887166,-92.579388,0.000000,top
"R13","1K5","R_0402_1005Metric",94.887166,-93.565496,0.000000,top
"U2","STM32F103CBTx","LQFP-48_7x7mm_P0.5mm",101.600000,-91.440000,180.000000,top
